rhino_id,inst_id,species,sex,age,birth_type,housing,train,train_period,train_week,train_time,trainers_beh,beh_number_daily,managed_w_others,social_incomp,PC1,PC2,PC3,PC4,active,calm,investigative,sleep,stereotypies,assertive,chemosensory,con_af,con_ag,con_ff,food_ag,no_obj,pre_obj,social,vocal,fam_af,fam_ag,fam_ff,responsive,stranger_af,stranger_ag,stranger_ff
24428151,Inst-38,White,Male,20,Captive,Individual,Yes,>5 yrs,5,15-Jan,2-Jan,<5,No,,0.824512864,1.389720321,1.593068617,0.652667473,6,7,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0.2,7.5,8.5,0.1,0.1
24428166,Inst-44,White,Male,19,Captive,Individual,No,,7,,,,No,,1.045478697,1.559670063,-0.03582644,0.568944944,6,6.5,8.5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0.5,9,9,0.5,1.75
14662249,Inst-10,Black,Male,30,Captive,Individual,No,,5,,,,No,,-0.556891678,-0.973225385,-3.527136185,-1.029448758,5,5,8,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,0,9.5,5,5.5,0.1
19030328,Inst-6,Black,Female,6,Captive,Social,Yes,>5 yrs,3,15-Jan,2-Jan,10-May,Yes,Yes,-0.464900188,-0.780992285,1.140728108,0.253359709,5.5,4,3.5,5,1.3,3,2.4,7.5,3,2.3,7.7,1,1.1,6.5,4,9,1,1,8,7.5,0.5,2
14662153,Inst-55,Black,Male,12,Wild,Social,No,,NA,,,,Yes,No,-4.962975252,-0.060449155,0.628183627,0.129099704,5.8,0.75,2.55,4.75,1,2,9.5,6.25,3,7.5,2,1.5,2.5,2,3,7.5,3.25,2.25,6.4,3,3,5
14662333,Inst-19,Black,Male,21,Captive,Individual,Yes,6-12 mo,4.5,15-Jan,2-Jan,10-May,No,,1.4663369,-1.264226844,0.329055728,-0.728298531,5,8,7.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0.25,7.75,8.75,0.75,0.25
24403800,Inst-19,White,Female,11,Captive,Social,Yes,1-3 yrs,2.5,15-Jan,4-Mar,<5,Yes,No,-0.824329394,-1.708391122,0.45502461,-0.484050852,4.5,6.5,5.5,6.5,0.5,8.5,1.5,7,8,1.25,7.5,0,NA,7.5,6.5,7.75,2.25,0.75,7,8.5,0.5,1
14662345,Inst-14,Black,Male,18,Captive,Individual,Yes,>5 yrs,3,16-30,2-Jan,10-May,No,,-1.861786241,-0.228568938,-0.668866312,-0.686597317,5,3.5,5.2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,2.5,1.5,8.5,6,3,3
23031911,Inst-7,White,Female,22,Captive,Social,Yes,6-12 mo,2,15-Jan,2-Jan,<5,Yes,No,0.328232179,-1.002477002,-0.291158116,0.339269577,5,6.2,5.9,6,1,4.5,5,8,3.6,1,4.9,0.75,0.75,9,3.4,9,0.35,0.5,8,8,0.4,1
19990823,Inst-24,Black,Male,31,Captive,Individual,Yes,>5 yrs,1,15-Jan,2-Jan,<5,No,,-2.623359519,2.239018958,0.148865044,-0.96926143,7.5,3,2,3.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,0.75,7,6.4,3,2
22201316,Inst-47,White,Female,7,Captive,Social,Yes,1-3 yrs,2,15-Jan,2-Jan,<5,Yes,No,0.825768501,0.146665991,0.888173526,-0.390521827,6.5,7,7.75,5.5,0.5,7.5,4.25,8.5,3,1.5,3.9,5,5,8,3.15,8.5,1,0,8.5,8.5,0.5,0.25
17335124,Inst-43,White,Female,5,Captive,Social,Yes,1-3 yrs,2,15-Jan,2-Jan,10-May,Yes,No,1.312657429,0.340783421,0.207273434,-0.794456661,6.15,6.6,8.25,4.95,0,2.3,0.55,7.4,1.15,0.95,2.8,0.5,0.15,9.15,0.1,9.05,0.3,0,7.75,8.55,0.15,0.5
24403809,Inst-19,White,Female,5,Captive,Social,Yes,1-3 yrs,2.5,15-Jan,4-Mar,<5,Yes,No,1.176093612,-0.712018055,0.685262702,0.47966419,5.25,8.25,7.75,6.5,0.25,4.75,1.5,8.5,4.5,2.25,3.5,0,NA,9,4,9.5,0.75,0.5,8.75,9,0.5,1
15458941,Inst-42,White,Female,49,Captive,Individual,Yes,>5 yrs,7,15-Jan,2-Jan,<5,No,,1.789577928,-1.095792447,0.523702309,-0.340532782,5,9.5,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.1,0,9,7,0,0
24404058,Inst-59,White,Female,32,Captive,Social,Yes,6-12 mo,3,16-30,2-Jan,<5,Yes,Yes,1.708184809,-1.565762641,-0.433179162,0.844346752,5.1,6.6,3.5,6.4,1.6,7,0,8.7,8.4,0,0,0,0,10,8.3,10,0,0,9,10,0,0
14662537,Inst-52,White,Female,18,Captive,Social,Yes,1-3 yrs,1.5,15-Jan,2-Jan,<5,Yes,No,0.551914512,0.27212551,-0.294396023,0.002720115,5.5,6.25,7,4.25,0.75,7.75,5,7.5,1.75,0.25,3.5,5.5,4,5.5,4.25,8.9,0.5,0.5,8.25,8.75,0,1.5
14662585,Inst-54,White,Female,10,Captive,Social,Yes,3-5 yrs,3,15-Jan,2-Jan,<5,Yes,No,0.470910786,1.322407771,-1.462709668,-0.391821037,7,5,6,3.5,0,8,5,8.5,3,0,6.1,0,0,8,5,9.4,0.25,0,9,7,0,2.5
24428367,Inst-53,White,Female,12,Captive,Social,Yes,>5 yrs,1,16-30,2-Jan,<5,Yes,No,-4.901674975,-1.153367135,0.620665712,3.31634522,5,5,5.5,7,4,4.1,5.6,8.3,4,7.6,4.3,6.9,5.2,7.1,3.7,7,3.1,2.3,8.5,5.1,2.1,4.2
14662351,Inst-14,Black,Female,13,Captive,Individual,Yes,>5 yrs,3,16-30,2-Jan,10-May,No,,0.730276919,-0.17135277,-0.346156884,-0.76713606,5,5,7,5,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.4,0.5,9,8,1,1
19990817,Inst-24,Black,Female,15,Captive,Individual,Yes,3-5 yrs,1,15-Jan,2-Jan,<5,No,Yes,0.93068083,0.917672823,1.452256116,-1.111249307,6.25,7.4,7,4.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,0.4,0.45,7.5,8.5,0.05,0.3
24429918,Inst-56,White,Female,7,Wild,Social,Yes,1-3 yrs,6,15-Jan,2-Jan,<5,Yes,No,2.362663038,0.481726034,-0.045135763,0.445897441,5,4.65,8.95,5,0,5.05,2.2,7.5,4,1.5,5,4.95,4.95,10,3.5,10,0,0,10,9.25,0,0
