rhino_id,species,inst_id,age,sex,housing,birth_type,temperature,precipitation,cloud_cover,size,access,calf_present,previous_presence,diversity,richness,gatewait_NO,stimulated_NO,unstimulated_NO,active_NO,inactive_NO,pace_NO,latency_sec,other_NO,notvisible_NO,retreat_NO,snort_NO,snarl_NO,pant_NO,whine_NO,attack_NO,charge_NO,void_NO,marking_NO,olfact_other_NO,olfact_obj_NO,advance_direct_NO,head_fling_NO,contact_inx_NO,near_NO,distant_NO,SessionDuration_sec,SessionDuration_allsec,SessionDurationMin,prop.gatewait,prop.stimulated,prop.unstimulated,prop.active,prop.inactive,prop.latency,prop.pace,prop.other,distance_int,prop.near,freq.retreat,freq.snort,freq.snarl,freq.whine,freq.pant,freq.attack,freq.charge,freq.void,freq.marking,freq.olfact_obj,freq.olfact_other,freq.advance_direct,freq.head_fling,freq.contact_inx,freq.other,censoring,log_duration,log_durationsec,log_distance
21385660,Black,Inst-15,22,Male,Individual,Captive,-0.555555556,None,Overcast,S,Indoor,No,yes,1.25949335,6,0,0,1191,22,1169,0,10,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,4,19,0,1191,1191,19.85,0,0,1,0.018471872,0.981528128,0.008396306,0,0,19,1,0,0,0,0,0,0,0,0.050377834,0,0.201511335,0,0.050377834,0,0.201511335,0,1,2.988204007,7.082548569,2.944438979
21260167,White,Inst-7,20,Male,Social,Captive,26.11111111,None,Partly cloudy,M,Indoor,No,yes,1.273158911,5,0,11,1183,962,232,0,5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,7,13,1194,1194,19.9,0,0.00921273,0.99078727,0.805695142,0.194304858,0.004187605,0,0,20,0.35,0,0,0,0,0,0,0,0,0.050251256,0,0.502512563,0,0,0,0,1,2.990719732,7.085064294,2.995732274
14662624,White,Inst-22,43,Female,Social,Captive,15,None,Overcast,M,Indoor,No,yes,1.584644155,10,6,6,1188,211,184,0,5,0,0,0,0,0,1,0,0,0,0,0,1,2,4,0,3,9,11,1194,1194,19.9,0.005025126,0.005025126,0.994974874,0.176716918,0.154103853,0.004187605,0,0,20,0.45,0,0,0,0,0.050251256,0,0,0,0,0.100502513,0.050251256,0.201005025,0,0.150753769,0,1,2.990719732,7.085064294,2.995732274
21850740,White,Inst-37,17,Male,Social,Captive,4.444444444,None,Overcast,M,Outdoor,No,yes,1.441656959,6,0,582,605,216,971,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,16,1187,1187,19.78333333,0,0.49031171,0.50968829,0.181971356,0.818028644,0.00084246,0,0,20,0.2,0,0,0,0,0,0,0,0.101095198,0,0.050547599,0,0,0,0.050547599,0,1,2.984839832,7.079184395,2.995732274
24428313,White,Inst-44,18,Male,Individual,Captive,2.777777778,None,Overcast,M,Indoor,No,yes,1.696653455,8,0,46,1142,457,709,0,9,0,0,0,0,0,0,0,0,0,0,5,1,5,2,0,5,5,12,1188,1188,19.8,0,0.038720539,0.961279461,0.384680135,0.596801347,0.007575758,0,0,17,0.294117647,0,0,0,0,0,0,0,0,0.252525253,0.252525253,0.050505051,0.101010101,0,0.252525253,0,1,2.985681938,7.0800265,2.833213344
14662309,Black,Inst-21,25,Female,Individual,Captive,2.222222222,None,Sunny,L,Indoor,No,yes,2.123235838,11,0,48,976,691,293,150,9,0,0,1,0,0,4,0,0,0,0,0,12,13,5,0,6,10,10,1174,1174,19.56666667,0,0.04088586,0.831345826,0.588586031,0.249574106,0.007666099,0.127768313,0,20,0.5,0.051107325,0,0,0,0.204429302,0,0,0,0,0.66439523,0.613287905,0.255536627,0,0.306643952,0,1,2.973827438,7.068172,2.995732274
14662342,Black,Inst-24,18,Female,Individual,Captive,0.555555556,None,Sunny,M,Indoor,No,yes,1.553506912,8,0,55,1138,94,1099,0,106,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,9,8,12,1193,1193,19.88333333,0,0.046102263,0.953897737,0.078792959,0.921207041,0.088851635,0,0,20,0.4,0.050293378,0,0,0,0,0,0,0,0,0.100586756,0,0.150880134,0,0.452640402,0,1,2.98988186,7.084226422,2.995732274
21385657,Black,Inst-15,29,Female,Individual,Wild,-0.555555556,None,Overcast,S,Indoor,No,yes,1.711612411,8,0,118,1068,165,1021,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,12,12,7,1186,1186,19.76666667,0,0.099494098,0.900505902,0.139123103,0.860876897,0.004215852,0,0,19,0.631578947,0,0,0,0,0,0,0,0,0,0.151770658,0.151770658,0.101180438,0,0.607082631,0,1,2.983997017,7.07834158,2.944438979
24215274,Black,Inst-51,3,Male,Individual,Captive,13.88888889,None,Overcast,M,Indoor,No,yes,2.09798159,10,186,854,0,469,199,0,76,0,274,7,0,0,0,0,0,1,0,1,2,10,6,0,5,8,12,854,854,14.23333333,0.217798595,1,0,0.549180328,0.233021077,0.088992974,0,0,20,0.4,0.491803279,0,0,0,0,0,0.070257611,0,0.070257611,0.702576112,0.140515222,0.421545667,0,0.351288056,0,1,2.655586632,6.749931194,2.995732274
19030349,White,Inst-29,6,Male,Social,Captive,18.88888889,None,Sunny,M,Indoor,No,yes,1.555902564,7,0,0,1194,284,910,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,4,16,1194,1194,19.9,0,0,1,0.237855946,0.762144054,0.003350084,0,0,20,0.2,0,0,0,0,0,0,0,0,0,0.050251256,0.050251256,0.201005025,0,0.351758794,0,1,2.990719732,7.085064294,2.995732274
14662504,White,Inst-18,26,Female,Social,Wild,28.88888889,None,Sunny,M,Outdoor,Yes,yes,1.592837539,7,0,0,1164,279,757,0,43,0,29,0,0,0,0,0,0,0,0,1,2,2,3,0,4,9,11,1164,1164,19.4,0,0,1,0.239690722,0.650343643,0.036941581,0,0,20,0.45,0,0,0,0,0,0,0,0,0.051546392,0.103092784,0.103092784,0.154639175,0,0.206185567,0,1,2.965273066,7.059617628,2.995732274
19030334,White,Inst-17,22,Male,Social,Captive,18.33333333,None,Overcast,L,Indoor,No,yes,1.219379077,7,0,28,1157,26,1159,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,7,13,1185,1185,19.75,0,0.023628692,0.976371308,0.021940928,0.978059072,0.039662447,0,0,20,0.35,0,0,0,0,0,0,0,0,0,0.151898734,0,0.050632911,0,0.101265823,0,1,2.983153491,7.077498054,2.995732274
19030346,White,Inst-29,6,Male,Social,Captive,18.88888889,None,Sunny,M,Indoor,No,yes,1.580004102,8,0,21,1165,476,710,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,4,11,9,1186,1186,19.76666667,0,0.017706577,0.982293423,0.401349073,0.598650927,0.002529511,0,0,20,0.55,0,0,0,0,0,0,0,0,0,0.050590219,0.151770658,0.050590219,0,0.202360877,0,1,2.983997017,7.07834158,2.995732274
14662288,Black,Inst-21,26,Male,Individual,Captive,1.666666667,None,Sunny,L,Indoor,No,yes,1.869852914,9,4,13,1166,364,742,0,54,0,0,0,0,0,0,0,0,0,0,3,8,8,5,0,9,9,11,1179,1179,19.65,0.003392706,0.011026293,0.988973707,0.308736217,0.629346904,0.045801527,0,0,20,0.45,0,0,0,0,0,0,0,0,0.152671756,0.407124682,0.407124682,0.254452926,0,0.458015267,0,1,2.978077338,7.072421901,2.995732274
14662528,White,Inst-57,19,Male,Social,Captive,-3.333333333,None,Partly cloudy,M,Indoor,No,no,1.797985755,8,0,189,1002,220,971,0,2,0,0,0,0,0,0,0,1,0,0,5,0,6,4,0,13,13,7,1191,1191,19.85,0,0.158690176,0.841309824,0.184718724,0.815281276,0.001679261,0,0,20,0.65,0,0,0,0,0,0.050377834,0,0,0.251889169,0.302267003,0,0.201511335,0,0.654911839,0,1,2.988204007,7.082548569,2.995732274
14662582,White,Inst-52,10,Female,Social,Captive,-0.555555556,None,Sunny,S,Indoor,Yes,yes,1.799886995,10,38,52,1134,408,605,0,4,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,9,19,1,1186,1186,19.76666667,0.032040472,0.043844857,0.956155143,0.344013491,0.510118044,0.003372681,0,0,20,0.95,0,0,0,0,0,0.050590219,0,0,0,0.151770658,0.050590219,0.101180438,0,0.455311973,0,1,2.983997017,7.07834158,2.995732274
19030325,Black,Inst-6,3,Female,Social,Captive,3.333333333,None,Partly cloudy,S,Indoor,No,yes,1.797347583,9,9,64,606,458,99,506,3,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,9,11,1176,1176,19.6,0.007653061,0.054421769,0.515306122,0.389455782,0.084183673,0.00255102,0.430272109,0,20,0.45,0.204081633,0.051020408,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0,1,2.975529566,7.069874128,2.995732274
17335112,White,Inst-43,12,Female,Social,Captive,21.11111111,None,Overcast,L,Indoor,No,yes,1.376645607,9,40,55,1138,182,84,0,13,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,6,13,1193,1193,19.88333333,0.033528919,0.046102263,0.953897737,0.15255658,0.070410729,0.010896899,0,0,19,0.315789474,0,0,0,0,0.100586756,0,0,0,0,0.050293378,0.050293378,0.050293378,0,0,0,1,2.98988186,7.084226422,2.944438979
24422649,Black,Inst-25,17,Female,Social,Captive,-6.111111111,None,Overcast,M,Indoor,No,yes,1.712745456,10,0,9,1133,277,865,46,6,0,0,1,0,0,0,0,0,0,0,1,1,2,5,0,20,13,6,1188,1188,19.8,0,0.007575758,0.953703704,0.233164983,0.728114478,0.005050505,0.038720539,0,19,0.684210526,0.050505051,0,0,0,0,0,0,0,0.050505051,0.101010101,0.050505051,0.252525253,0,1.01010101,0,1,2.985681938,7.0800265,2.944438979
14662576,White,Inst-52,11,Female,Social,Captive,-2.777777778,None,Sunny,S,Indoor,Yes,yes,1.463584149,6,0,0,1193,129,719,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,8,12,1193,1193,19.88333333,0,0,1,0.108130763,0.602682313,0.015088013,0,0,20,0.4,0,0,0,0,0,0,0,0,0,0.25146689,0,0.150880134,0,0.150880134,0,1,2.98988186,7.084226422,2.995732274
24421821,White,Inst-20,17,Female,Social,Captive,17.77777778,None,Partly cloudy,S,Outdoor,Yes,yes,1.769034277,9,0,914,280,205,989,0,9,0,0,0,0,0,2,0,0,0,0,0,3,2,1,0,2,0,20,1194,1194,19.9,0,0.765494137,0.234505863,0.171691792,0.828308208,0.007537688,0,0,20,0,0,0,0,0,0.100502513,0,0,0,0,0.100502513,0.150753769,0.050251256,0,0.100502513,0,1,2.990719732,7.085064294,2.995732274
19990811,White,Inst-18,23,Female,Social,Captive,30,None,Sunny,M,Outdoor,No,yes,1.005311495,5,0,0,1183,249,177,0,30,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,13,1183,1183,19.71666667,0,0,1,0.210481826,0.149619611,0.025359256,0,0,20,0.35,0,0,0,0,0,0,0,0,0,0,0,0.050718512,0,0.050718512,0,1,2.981464302,7.075808864,2.995732274
19990835,White,Inst-18,7,Female,Social,Captive,21.11111111,None,Partly cloudy,L,Outdoor,No,yes,1.785516565,9,29,113,1071,412,514,0,7,0,0,0,0,0,3,0,0,0,0,0,8,2,0,0,1,9,11,1184,1184,19.73333333,0.024493243,0.095439189,0.904560811,0.347972973,0.434121622,0.005912162,0,0,20,0.45,0,0,0,0,0.152027027,0,0,0,0,0.101351351,0.405405405,0,0,0.050675676,0,1,2.982309253,7.076653815,2.995732274
24428154,Black,Inst-41,19,Male,Social,Captive,17.77777778,None,Sunny,M,Indoor,No,yes,1.8256457,8,0,0,828,688,119,364,3,0,0,0,0,0,0,0,0,0,0,10,1,9,2,0,6,10,9,1192,1192,19.86666667,0,0,0.694630872,0.577181208,0.099832215,0.002516779,0.305369128,0,19,0.526315789,0,0,0,0,0,0,0,0,0.503355705,0.453020134,0.05033557,0.100671141,0,0.302013423,0,1,2.989043285,7.083387848,2.944438979
21385654,Black,Inst-15,19,Female,Individual,Captive,-1.111111111,None,Overcast,S,Indoor,No,yes,2.078287331,11,57,112,1076,475,422,0,4,0,0,0,0,0,1,5,0,0,1,0,6,1,6,0,8,9,10,1188,1188,19.8,0.047979798,0.094276094,0.905723906,0.39983165,0.355218855,0.003367003,0,0,19,0.473684211,0,0,0,0.252525253,0.050505051,0,0,0.050505051,0,0.050505051,0.303030303,0.303030303,0,0.404040404,0,1,2.985681938,7.0800265,2.944438979
14662510,White,Inst-10,28,Female,Social,Wild,20.55555556,None,Overcast,L,Outdoor,Yes,yes,1.560792504,7,0,0,1189,332,857,0,10,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,6,14,1189,1189,19.81666667,0,0,1,0.279226241,0.720773759,0.008410429,0,0,20,0.3,0,0,0,0,0,0,0,0,0,0.201850294,0.100925147,0.100925147,0,0.100925147,0,1,2.986523334,7.080867897,2.995732274
24424419,White,Inst-30,12,Male,Social,Captive,7.222222222,None,Overcast,L,Outdoor,No,yes,1.921809117,10,15,119,1060,531,542,0,15,0,0,0,0,0,5,0,0,0,1,5,13,2,4,0,1,7,13,1179,1179,19.65,0.012722646,0.100932994,0.899067006,0.450381679,0.45971162,0.012722646,0,0,20,0.35,0,0,0,0,0.254452926,0,0,0.050890585,0.254452926,0.10178117,0.661577608,0.203562341,0,0.050890585,0,1,2.978077338,7.072421901,2.995732274
19299483,White,Inst-32,3,Male,Individual,Captive,10,None,Sunny,L,Outdoor,No,yes,1.792993145,8,35,264,925,704,397,0,8,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,7,3,13,1189,1189,19.81666667,0.029436501,0.222035324,0.777964676,0.592094197,0.333894029,0.006728343,0,0,16,0.1875,0,0,0,0,0,0,0,0,0,0.252312868,0.050462574,0,0,0.353238015,0,1,2.986523334,7.080867897,2.772588722
19990814,Black,Inst-21,26,Male,Individual,Captive,0.555555556,None,Sunny,L,Indoor,No,yes,1.916562918,10,9,335,841,286,865,0,5,0,0,1,0,0,0,0,0,0,0,5,3,25,6,0,20,16,4,1176,1176,19.6,0.007653061,0.284863946,0.715136054,0.243197279,0.735544218,0.004251701,0,0,20,0.8,0.051020408,0,0,0,0,0,0,0,0.255102041,1.275510204,0.153061224,0.306122449,0,1.020408163,0,1,2.975529566,7.069874128,2.995732274
19030340,Black,Inst-8,11,Female,Individual,Captive,25.55555556,None,Sunny,L,Outdoor,No,yes,1.853419029,9,0,116,1082,330,868,0,9,0,0,0,0,0,0,0,1,0,0,0,1,5,6,0,6,15,5,1198,1198,19.96666667,0,0.096828047,0.903171953,0.275459098,0.724540902,0.007512521,0,0,20,0.75,0,0,0,0,0,0.050083472,0,0,0,0.250417362,0.050083472,0.300500835,0,0.300500835,0,1,2.994064216,7.088408779,2.995732274
22187246,White,Inst-1,27,Female,Social,Wild,-1.666666667,None,Sunny,S,Indoor,No,yes,2.181160893,11,0,574,224,278,520,0,10,0,371,0,0,0,3,0,1,0,0,1,3,3,1,2,3,4,16,798,798,13.3,0,0.719298246,0.280701754,0.348370927,0.651629073,0.012531328,0,0,20,0.2,0,0,0,0,0.22556391,0.07518797,0,0,0.07518797,0.22556391,0.22556391,0.07518797,0.15037594,0.22556391,0,1,2.587764035,6.682108597,2.995732274
21850731,White,Inst-37,17,Male,Social,Captive,3.333333333,None,Overcast,M,Outdoor,No,yes,1.555725975,8,0,83,1007,80,979,0,108,0,88,3,0,0,0,0,0,0,4,0,0,4,1,0,2,9,11,1090,1090,18.16666667,0,0.076146789,0.923853211,0.073394495,0.898165138,0.099082569,0,0,20,0.45,0.165137615,0,0,0,0,0,0,0.220183486,0,0.220183486,0,0.055045872,0,0.110091743,0,1,2.899588413,6.993932975,2.995732274
19990841,White,Inst-26,42,Female,Social,Captive,28.33333333,None,Overcast,L,Outdoor,No,yes,1.05215546,5,0,0,1194,75,1119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,19,1194,1194,19.9,0,0,1,0.06281407,0.93718593,0.003350084,0,0,20,0.05,0,0,0,0,0,0,0,0,0,0.050251256,0,0,0,0.100502513,0,1,2.990719732,7.085064294,2.995732274
